assignment_id	assignmentId	workerId	condition	feedback
37b9a21a-044b-4c87-be10-cbbb2126b9b0	37b9a21a-044b-4c87-be10-cbbb2126b9b0	4501006464537369104472124537369108647031000150024	SE_NO_FEEDBACK	These questions required more effort than I thought the survey required when starting.  (e.g. to go from descriptive statistics to probability I believe you need to compute a z-score, and use a table, or statistical calculator.)   I did not take the time to do this.  I wasn't really up for a math exam. 
c02907ee-aa4c-4041-8996-4540ff90ffa7	c02907ee-aa4c-4041-8996-4540ff90ffa7	4501006464537369204515107537369209025531080192024	SE_NO_FEEDBACK	"When reading the original abstract, I noticed couple things:

1. They measure the average of the log of the duration. But is it close to normal? It is not shown. SD 0.51 suggests a typical variation of sound duration of around ~500 msec. There might be a problem with outliers there.

2. The violence link is not proven. We (provided the stats is right) see that one game probably causes longer blasts than the other, but is that the violence in that game, or maybe something unrelated like screen brightness or in-game sounds volume?"
28d21ee9-b472-4ae4-8cd5-c6b8854e2cf3	28d21ee9-b472-4ae4-8cd5-c6b8854e2cf3	4501006464537369204515107537369209026231440344024	SE_NO_FEEDBACK	The visualization of the standard deviations on the first page didn't appear to agree with the numbers in the text.
dda768a8-6b8f-4bcb-8ab2-e1ab43d59a04	dda768a8-6b8f-4bcb-8ab2-e1ab43d59a04	4501006464537369404585053736940972031235185224	SE_NO_FEEDBACK	Would love to know the results of the study :)
96e8d711-87c7-4721-8139-d0258e9640e0	96e8d711-87c7-4721-8139-d0258e9640e0	4501006464537369204515107537369209026231440256024	SE_POINTS_NO_FEEDBACK	I would have rejected the paper also because of the sample design (undergrad psychology students are not a representative sample of the young population in general, say nothing about the society in general), and of the interpretation of results (if the participants set the noise blast ahead of time, without knowing who will win but knowing it could be applied to them, is that aggression?).
33b96694-4d7a-4d25-8e1e-64f172f08558	33b96694-4d7a-4d25-8e1e-64f172f08558	4501006464537369204515107537369209026231200192024	SE_POINTS_NO_FEEDBACK	I think the estimation questions where a bit ill posed. Actually there is no way answering these questions based on the observed data alone without using any priors on the distribution parameters. The question should better have been: assuming the maximum likelihood estimates of the distribution parameters are correct, what is the probability that ...
fdb64e3b-caba-4d1d-a1b3-e5e9f4098197	fdb64e3b-caba-4d1d-a1b3-e5e9f4098197	45010064645373692045151075373631440344024	SE_POINTS_NO_FEEDBACK	I would like to know the correct answers with an explanation for deriving them :)
a6f08e03-0206-46df-9dd8-c57519be4dba	a6f08e03-0206-46df-9dd8-c57519be4dba	4501006464537369104472124537369108646731080192024	SE_POINTS_NO_FEEDBACK	"the first page of questions had a question about the reader's opinion on the sample size. Not sure how you'd phrase it, but I'd be interested to see what people thought of the sampling method. Whether or not the sample size is sufficient is partly a function of the population it was sampled from. ""Is 800 an appropriate sample size for a study like this?"" might be perceived as a slightly different question than ""Is a sample of 800 undergrads who self-selected into an intro-psychology course an appropriate sample for a study like this?"""
c7689072-bfc1-4831-8769-40b1975266e7	c7689072-bfc1-4831-8769-40b1975266e7	4501006464537369204515107537369209026231080162024	SE_NO_FEEDBACK	So maybe I misunderstood or missed something, but it was unclear to me at first if going back to previous questions was possible or intended, so I hit the back button in the browser and was of course redirected to the start of the questionnaire :). If that's by design, think it would be helpful to make this clearer in the instructions.
afc6fcc2-144c-49c5-b651-bef98c21e795	afc6fcc2-144c-49c5-b651-bef98c21e795	450100646453736930454405373693093313864153624	SE_POINTS_NO_FEEDBACK	It is perceived that general public would look for more conclusive result reported to them rather than anything with uncertainty. Either uncertainty would be  ignored during the information consumption, or on the other side, any conclusion with uncertainty would be ignored. 
a0a403d3-6be4-4cf9-b8d3-837f3f7d2c02	a0a403d3-6be4-4cf9-b8d3-837f3f7d2c02	450100646453736910447216453736910864713960144024	SE_NO_FEEDBACK	Would be good to have the means overlap the ticks on y-axis to get a quick sense of the difference in means and the value of the standard-error
150f3150-5413-44ee-a0be-264ebe05c279	150f3150-5413-44ee-a0be-264ebe05c279	45010064645373692045151315373631080192024	SE_NO_FEEDBACK	The scope of this research is much more narrow than the initial question suggests. Reality is that i don't really believe in 'lab experiment', so I'm definitely biased. I would indeed be interested in the causal relationship between video game and violence but I'm not sure this RCT settings allows to draw conclusions outside the group of 1st year student taking an intro to psychology course. Also i would like to know more about the covariates, family history, poverty status, size of the family/siblings, mental health conditions etc.  although I understand that the RCT is supposed to make everything equal here and the point is not to understand the underlying causes.. just not the kind of study I find so useful overall
102b0903-0cab-47e1-8d5e-70d85abcd811	102b0903-0cab-47e1-8d5e-70d85abcd811	4501006464537369204515131537369209026731080192024	SE_POINTS_NO_FEEDBACK	"The sample might not be random to reflect the general population, since they're simply recruited from one psychology class. 

Besides, the measurement of ""violent"" needs more justification."
f584638d-4927-4a8b-8967-8a3fc0fe6dbf	f584638d-4927-4a8b-8967-8a3fc0fe6dbf	450100646453736920451513153736920902673864129624	SE_NO_FEEDBACK	The plot in the initial reading did not seem to agree with the numbers stated in the text - the standard errors seemed quite different. This confused me and significantly impacted my answers.
0b3ba232-3390-4e92-a464-cc85b9d909fa	0b3ba232-3390-4e92-a464-cc85b9d909fa	4501006464537369204515107537369209025531080192024	SE_NO_FEEDBACK	In the first chart it seemed to me that the error bars representing the 1st standard deviation were not drawn accurately.
5be23c75-d423-4dac-bbe7-5336aa854a46	5be23c75-d423-4dac-bbe7-5336aa854a46	450100645373691044721245373631728307224	SE_NO_FEEDBACK	The last figure had inconsistent spacing of labels on the y axis (0.8, 1.0, 1.3, 1.5, 1.8)
a76b0d12-6f13-410b-80e4-515122708bbe	a76b0d12-6f13-410b-80e4-515122708bbe	450100646453736920451513153736920902673832124824	SE_POINTS_NO_FEEDBACK	I would like to see the change in behavior due to the stimulus.  Perhaps you could do a sort of paired test whereby the subject goes through the button exercise, then the game, then the button again (if randomized to the treatment group).
